section,section_name,code,name,description,abstract,exclude
5类,矿产品,25,盐;硫磺;泥土及石料;石膏料、石灰及水泥,"一、除条文及注释四另有规定的以外，本章各税目只包括原产状态的矿产品，或只经过洗涤（包括用化学物质清除杂质
而未改变产品结构的） 、破碎、磨碎、研粉、淘洗、筛分以及用浮选、磁选和其他机械物理方法（不包括结晶法）
精选过的货品，但不得经过焙烧、煅烧、混合或超过税目所列的加工范围。  
本章产品可含有添加的抗尘剂，但所加剂料并不使原产品改变其一般用途而适合于某些特殊用途。  
二、本章不包括：  
（一）升华硫磺、沉淀硫磺及胶态硫磺（税目 28.02）； 
（二）土色料，按重量计三氧化二铁含量在 70%及以上（税目 28.21）； 
（三）第三十章的药品及其他产品；  
（四）芳香料制品及化妆盥洗品（第三十三章） ；  
（五）夯混白云石（税目 38.16）； 
    （六）长方砌石、路缘石、扁平石（税目 68.01） 、镶嵌石或类似石料（税目 68.02）及铺屋顶、饰墙面或防潮用的
板岩（税目 68.03）； 
（七）宝石或半宝石（税目 71.02或71.03）； 
  （八）每颗重量不低于 2.5克的氯化钠或氧化镁培养晶体（光学元件除外） （税目 38.24） ；氯化钠或氧化镁制的光
学元件（税目 90.01）； 
（九）台球用粉块（税目 95.04） ；或  
（十）书写或绘画用粉笔及裁缝划粉（税目 96.09）。 
三、既可归入税目 25.17又可归入本章其他税目的产品，应归入税目 25.17。 
四、税目 25.30主要包括：未膨胀的蛭石、珍珠岩及绿泥石；不论是否煅烧或混合的土色料；天然云母氧化铁；海泡石
（不论是否磨光成块） ；琥珀；模制后未经进一步加工的片、条、杆或类似形状的粘聚海泡石及粘聚琥珀；黑玉；
菱锶矿（不论是否煅烧） ，但不包括氧化锶；破碎陶器；砖或混凝土的碎块。",各类矿物原产状态或经简单物理加工（洗、碎、筛、浮选等）,"升华硫磺、沉淀硫磺及胶态硫磺,2802; 
土色料，按重量计三氧化二铁含量在 70%及以上,2821; 
药品及其他产品,30;  
芳香料制品及化妆盥洗品,33;  
夯混白云石,3816; 
长方砌石、路缘石、扁平石,6801;
镶嵌石或类似石料,6802;
铺屋顶、饰墙面或防潮用的板岩,6803; 
宝石或半宝石,7102、7103； 
每颗重量不低于 2.5克的氯化钠或氧化镁培养晶体（光学元件除外） 3824;
氯化钠或氧化镁制的光学元件,9001; 
台球用粉块,9504;  
书写或绘画用粉笔及裁缝划粉,9609;"
5类,矿产品,26,矿砂、矿渣及矿灰,"一、本章不包括：  
（一）铺路用的矿渣及类似的工业废渣（税目 25.17）； 
（二）天然碳酸镁（菱镁矿） ，不论是否煅烧（税目 25.19）； 
（三）储油罐的淤渣，主要成分为税目 27.10项下的油品；  
（四）第三十一章的碱性熔渣；  
（五）矿物棉（税目 68.06）； 
（六）贵金属或包贵金属的废碎料；主要用于回收贵金属的含贵金属或贵金属化合物的其他废碎料（税目 71.12或
85.49） ；或  
（七）通过熔炼所产生的铜锍、镍锍或钴锍（第十五类） 。  
二、税目 26.01至26.17所称“矿砂” ，是指冶金工业中提炼汞、税目 28.44的金属以及第十四类、第十五类金属的矿物，
即使这些矿物不用于冶金工业，也包括在内。但税目 26.01至26.17不包括不是以冶金工业正常加工方法处理的各种
矿物。 
三、税目 26.20只适用于：  
（一）在工业上提炼金属或作为生产金属化合物基本原料的矿渣、矿灰及残渣，但焚化城市垃圾所产生的灰、渣除外
（税目26.21）； 
（二）含有砷的矿渣、矿灰及残渣，不论其是否含有金属，用于提取或生产砷、金属及其化合物。  
 
子目注释：  
一、子目 2620.21所称“含铅汽油的淤渣及含铅抗震化合物的淤渣” ，是指取自含铅汽油及含铅抗震化合物（例如，四乙
铅）储罐的淤渣，主要含有铅、铅化合物以及铁的氧化物。  
二、含有砷、汞、铊及其混合物的矿渣、矿灰及残渣，用于提取或生产砷、汞、铊及其化合物，归入子目 2620.60。",冶金提炼金属用矿砂；提取金属或化合物用矿渣、矿灰,"铺路用的矿渣及类似的工业废渣,2517;
天然碳酸镁不论是否煅烧,2519; 
储油罐的淤渣,2710;  
碱性熔渣,31;  
矿物棉,6806; 
贵金属或包贵金属的废碎料、主要用于回收贵金属的含贵金属或贵金属化合物的其他废碎料,7112、8549;
通过熔炼所产生的铜锍、镍锍或钴锍,15类;"
5类,矿产品,27,矿物燃料、矿物油及其蒸馏产品;沥青物质;矿物蜡,"一、本章不包括：  
（一）单独的已有化学定义的有机化合物，但纯甲烷及纯丙烷应归入税目 27.11； 
（二）税目 30.03及30.04的药品；或  
（三）税目 33.01、33.02及38.05的不饱和烃混合物。  
二、税目 27.10所称“石油及从沥青矿物提取的油类” ，不仅包括石油、从沥青矿物提取的油及类似油，还包括那些用
任何方法提取的主要含有不饱和烃混合物的油，但其非芳族成分的重量必须超过芳族成分。然而，它不包括温度在
300摄氏度时，压力转为 1013毫巴后减压蒸馏出的液体合成聚烯烃以体积计小于 60%的货品（第三十九章） 。  
三、税目 27.10所称“废油” ，是指主要含石油及从沥青矿物提取的油类（参见本章注释二）的废油，不论其是否与水
混合。它们包括：  
（一）不再适于作为原产品使用的废油（例如，用过的润滑油、液压油及变压 器油） ； 
（二）石油储罐的淤渣油，主要含有石油及高浓度的在生产原产品时使用的添加剂（例如，化学品） ；  
（三）水乳浊液状或与水混合的废油，例如，浮油、清洗油罐所得的油或机械加工中已用过的切削油。  
 
子目注释：  
一、子目 2701.11所称“无烟煤” ，是指含挥发物（以干燥、无矿物质计）不超过 14%的煤。 
二、子目 2701.12 所称“烟煤” ，是指含挥发物（以干燥、无矿物质计）超过 14%，并且热值（以潮湿、无矿物质计）
等于或大于 5833大卡/千克的煤。  
三、子目 2707.10、2707.20、2707.30及2707.40所称“粗苯” 、 “粗甲苯” 、 “粗二甲苯” 、 “萘” ，是分别指按重量计苯、
甲苯、二甲苯、萘的含量在 50%以上的产品。  
四、子目 2710.12 所称“轻油及其制品” ，是指根据 ISO 3405方法（等同于 ASTM D 86 方法） ，温度在 210摄氏度时以
体积计馏出量（包括损耗）在 90％及以上的产品。  
五、税目 27.10的子目所称“生物柴油” ，是指从动植物油脂或微生物油脂（不论是否使用过）得到的用作燃料的脂肪
酸单烷基酯。",煤、石油、沥青物质、矿物蜡、废油,"纯甲烷/丙烷,27;
单一化学定义的有机化合物,28、29;
药品,30;
精油,33;
化工液体,38;"
6类,化学工业及其相关工业的产品,28,无机化学品;贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,"一、除条文另有规定的以外，本章各税目只适用于：  
（一）单独的化学元素及单独的已有化学定义的化合物，不论是否含有杂质；  
（二）上述（一）款产品的水溶液；  
（三）溶于其他溶剂的上述（一）款产品，但该产品处于溶液状态只是为了安全或运输所采取的正常必要方法，其
所用溶剂并不使该产品改变其一般用途而适合于某些特殊用途；  
（四）为了保存或运输需要，加入稳定剂（包括抗结块剂）的上述（一）、（二）、（三）款产品；  
（五）为了便于识别或安全起见，加入抗尘剂或着色剂的上述（一）、（二）、（三）、（四）款产品，但所加剂
料并不使原产品改变其一般用途而适合于某些特殊用途。  
二、除以有机物质稳定的连二亚硫酸盐及次硫酸盐（税目 28.31），无机碱的碳酸盐及过碳酸盐（税目 28.36），无机
碱的氰化物、氧氰化物及氰络合物（税目 28.37），无机碱的雷酸盐、氰酸盐及硫氰酸盐（税目 28.42），税目 28.43
至28.46及28.52的有机产品，以及碳化物（税目 28.49）之外，本章仅包括下列碳化合物：  
（一）碳的氧化物，氰化氢及雷酸、异氰酸、硫氰酸及其他简单或络合氰酸（税目 28.11）； 
（二）碳的卤氧化物（税目 28.12）； 
（三）二硫化碳（税目 28.13）； 
（四）硫代碳酸盐、硒代碳酸盐、碲代碳酸盐、硒代氰酸盐、碲代氰酸盐、四氰硫基二氨基络酸盐及其他无机碱络
合氰酸盐（税目 28.42）； 
（五）用尿素固化的过氧化氢（税目 28.47）、氧硫化碳、硫代羰基卤化物、氰、卤化氰、氨基氰及其金属衍生物
（税目28.53），不论是否纯净，但氰氨化钙除外（第三十一章）。  
三、除第六类注释一另有规定的以外，本章不包括：  
（一）氯化钠或氧化镁（不论是否纯净）及第五类的其他产品；  
（二）上述注释二所述以外的有机 —无机化合物；  
（三）第三十一章注释二、三、四或五所述的产品；  
（四）税目 32.06的用作发光剂的无机产品；税目 32.07的搪瓷玻璃料及其他玻璃，呈粉、粒或粉片状的；  
（五）人造石墨（税目 38.01）；税目 38.13的灭火器的装配药及已装药的灭火弹；税目 38.24的零售包装的除墨
剂；税目 38.24的每颗重量不少于 2.5克的碱金属或碱土金属卤化物的培养晶体（光学元件除外）；  
（六）宝石或半宝石（天然、合成或再造）及这些宝石、半宝石的粉末（税目 71.02至71.05），第七十一章的贵
 302 金属及贵金属合金；  
（七）第十五类的金属（不论是否纯净）、金属合金或金属陶瓷，包括硬质 合金（与金属烧结的金属碳化物）；或  
（八）光学元件，例如用碱金属或碱土金属卤化物制成的（税目 90.01）。 
四、由本章第二分章的非金属酸和第四分章的金属酸所构成的已有化学定义的络酸，应归入税目 28.11。 
五、税目 28.26至28.42只适用于金属盐、铵盐及过氧酸盐。除条文另有规定的以外，复盐及络盐应归入税目 28.42。 
六、税目 28.44只适用于 ： 
（一）锝（原子序数 43）、钷（原子序数 61）、钋（原子序数84）及原子序数大于 84的所有化学元素 ； 
（二）天然或人造放射性同位素（包括第十四类及第 十五类的贵金属和贱金属的放射性同位素），不论是否混合；  
（三）上述元素或同位素的无机或有机化合物，不论是否已有化学定义或是否混合；  
（四）含有上述元素或同位素及其无机或有机化合物 并且具有某种放射性强度超过 74贝克勒尔 /克（0.002微居里/
克）的合金、分散体（包括金属陶瓷 ）、陶瓷产品及混合物；  
（五）核反应堆已耗尽（已辐照）的燃料元件  （释热元件 ）； 
（六）放射性的残渣，不论是否有用。  
税目28.44、28.45及本注释所称 “同位素”，是指：  
1.单独的核素，但不包括自然界中以单一同位素状态存在的核素；  
2.同一元素的同位素混合物，其中一种或几种同位素已被浓缩，即人工地改变了该元素同位素的自然构成。  
七、税目 28.53包括按重量计含磷量超过 15％的磷化铜（磷铜）。  
八、经掺杂用于电子工业的化学元素（例如，硅、硒），如果拉制后未经加工或呈圆筒形、棒形，应归入本章；如果已
切成圆片、薄片或类似形状，则归入税目 38.18。 
 
子目注释：  
子目2852.10所称“已有化学定义”是指符合第二十八章注释一 (一)至（五）或第二十九章注释一（一）至（八）规定
的汞的无机或有机化合物。",单一化学元素/单一化合物（含溶液/稳定剂）；放射性元素及同位素,"氯化钠或氧化镁(不论是否纯净),5类;  
用作发光剂的无机产品,3206;
搪瓷玻璃料及其他玻璃(呈粉/粒或粉片状),3207;  
人造石墨,3801;
灭火器的装配药及已装药的灭火弹,3813;
零售包装的除墨剂,3824;
每颗重量不少于 2.5克的碱金属或碱土金属卤化物的培养晶体(光学元件除外),3824;  
宝石或半宝石（天然、合成或再造）及这些的粉末,71;
贵金属及贵金属合金,71;  
金属（不论是否纯净）、金属合金、金属陶瓷,15类;
光学元件，例如用碱金属或碱土金属卤化物制成的,9001; "
6类,化学工业及其相关工业的产品,29,有机化合物,"一、除条文另有规定的以外，本章各税目只适用于：  
（一）单独的已有化学定义的有机化合物，不论是否 含有杂质；  
（二）同一有机化合物的两种或两种以上异构体的混 合物（不论是否含有杂质 ），但无环烃异构体的混合物（立体异
构体除外 ），不论是否饱和，应归入第二十七章；  
（三）税目29.36至29.39的产品，税目 29.40的糖醚、糖缩醛、糖酯及其盐类和税目 29.41的产品，不论是否已有化学
定义； 
（四）上述（一）、（二）、（三）款产品的水溶液；  
（五）溶于其他溶剂的上述（一）、（二）、（三）款的产品，但该产品处于溶液状态只是为了安全或运输所采取
的正常必要方法，其所用溶剂并不使该产品改变其一般用途而适合于某些特殊用途；  
（六）为了保存或运输的需要，加入稳定剂（包括抗结块剂）的上述（一）、（二）、（三）、（四）、（五）各
款产品；  
（七）为了便于识别或安全起见，加入抗尘剂、着色剂、气味剂或催吐剂的上述（一）、（二）、（三）、（四）、
（五）、（六）各款产品，但所加剂料并不使原产品改变其一般用途而适合于某些特殊用途；  
（八）为生产偶氮染料而稀释至标准浓度的下列产品：重氮盐，用于重氮盐、可重氮化的胺及其盐类的耦合剂。  
二、本章不包括：  
（一）税目 15.04的货品及税目 15.20的粗甘油；  
（二）乙醇（税目 22.07或22.08）； 
（三）甲烷及丙烷（税目 27.11）； 
（四）第二十八章注释二所述的碳化合物；  
（五）税目 30.02的免疫制品；  
（六）尿素（税目 31.02或31.05）； 
（七）植物性或动物性着色料（税目 32.03）、合成有机着色料、用作荧光增白剂或发光体的合成有机产品（税目
32.04）及零售包装的染料或其他着色料（税目 32.12）； 
（八）酶（税目 35.07）； 
（九）聚乙醛、六亚甲基四胺（乌洛托品）及类似物质，制成片、条或类似形状作为燃料用的，以及包装容器的容
积不超过 300立方厘米的直接灌注香烟打火机及类似打火器用的液体燃料或液化气体燃料（税目 36.06）； 
（十）灭火器的装配药及已装药的灭火弹（税目 38.13）；零售包装的除墨剂（税目 38.24）；或 
（十一）光学元件，例如用酒石酸乙二胺制成的（税目 90.01）。 
三、可以归入本章两个或两个以上税目的货品，应归入有关税目中的最后一个税目。  
四、税目 29.04至29.06、29.08至29.11及29.13至29.20的卤化、磺化、硝化或亚硝化衍生物均包括复合衍生物，例如，
卤磺化、卤硝化、磺硝化及卤磺硝化衍生物。  
硝基及亚硝基不作为税目 29.29的含氮基官能团。  
税目29.11、29.12、29.14、29.18及29.22所称“含氧基”，仅限于税目 29.05至29.20的各种含氧基（其特征为有机
含氧基）。 
五、 
（一） 本章第一分章至第七分章的酸基有机化合物与这些分章的有机化合物构成的酯应归入有关税目中的最后一个
税目。 
（二）乙醇与本章第一分章至第七分章的酸基有机化合物所构成的酯，应按有关酸基化合物归类。  
（三）除第六类注释一及第二十八章注释二另有规定的以外：  
1.第一分章至第十分章及税目 29.42的有机化合物的无机盐，例如，含酸基、酚基或烯醇基的化合物及有机
碱的无机盐，应归入相应的有机化合物的税目 ； 
2.第一分章至第十分章及税目 29.42的有机化合物之间生成的盐，应按生成该盐的碱或酸（包括酚基或烯醇
基化合物）归入本章有关税目中的最后一个税目；  
3.除第十一分章或税目 29.41的产品外，配位化合物应按该化合物所有金属键（金属 —碳键除外）“断开”
所形成的片段归入第二十九章有关税目中的最后一个税目。  
（四）除乙醇外，金属醇化物应按相应的醇归类（税目 29.05）。 
 347  （五）羧酸酰卤化物应按相应的酸归类。  
六、税目 29.30及29.31的化合物是指有机化合物，其分子中除含氢、氧或氮原子外，还含有与碳原子直接连接的其他非
金属或金属原子（例如，硫、砷或铅 ）。 
税目29.30（有机硫化合物） 及税目 29.31（其他有机 —无机化合物） 不包括某些磺化或卤化衍生物 （含复合衍生物） 。
这些衍生物分子中除氢、氧、氮之外，只有具有磺化或卤化衍生物（或复合衍生物）性质的硫原子或卤素原子与碳
原子直接连接。  
七、税目29.32、29.33及29.34不包括三节环环氧化物、 过氧化酮、醛或硫醛的环聚合物、多元羧酸酐、多元醇或酚与多
元酸构成的环酯及多元酸酰亚胺。  
        本条规定只适用于由本条所列环化功能形成环内杂原子的化合物。  
八、税目 29.37所称： 
（一）“激素”包括激素释放因子、激素刺激和释放因子、激素抑制剂以及激素抗体 ； 
（二）“主要起激素作用 ”，不仅适用于激素衍生物以及主要起激素作用的结构类似物，也适用于在本税目所列产品
合成过程中主要用作中间体的激素衍生物以及结构类似物。  
 
子目注释：  
一、属于本章任一税目项下的一种（组）化合物的衍生物，如果该税目其他子目未明确将其包括在内，而且有关的子目
中又无列名为 “其他”的子目，则应与该种（组）化合物归入同一子目。  
二、第二十九章注释三不适用于本章的子目。",单一已定义的有机分子及其溶液、异构混合物,"鱼或海生哺乳动物的油,15.04;
粗甘油,15.20;  
乙醇,2207、2208; 
甲烷及丙烷,2711; 
血相关的免疫制品,3002;  
尿素,3102、3105; 
植物性或动物性着色料,3203;
合成有机着色料/用作荧光增白剂或发光体的合成有机产品,3204;
零售包装的染料或其他着色料,3212; 
酶,3507; 
聚乙醛/六亚甲基四胺（乌洛托品）及类似物质,3606; 
灭火器的装配药及已装药的灭火弹,3813;
零售包装的除墨剂,3824;
光学元件（如用酒石酸乙二胺制成的）,9001; "
6类,化学工业及其相关工业的产品,30,药品,"一、本章不包括 ： 
（一）食品及饮料（例如，营养品、糖尿病食品、强化食品、保健食品、滋补饮料及矿泉水）  
  （第四类），但不包括供静脉摄入用的滋养品；  
（二）含尼古丁并用于帮助吸烟者戒烟的产品，例如，片剂、咀嚼胶或透皮贴片（税目 24.04）； 
（三）经特殊煅烧或精细研磨的牙科用熟石膏（税目 25.20）； 
（四）适合医药用的精油水馏液及水溶液（税目 33.01）； 
（五）税目 33.03至33.07的制品，不论是否具有治疗及预防疾病的作用；  
（六）加有药料的肥皂及税目 34.01的其他产品；  
（七）以熟石膏为基本成分的牙科用制品（税目 34.07）； 
（八）不作治疗及预防疾病用的血清蛋白（税目 35.02）；或 
（九）税目 38.22的诊断试剂。  
二、税目30.02所称的“免疫制品”是指直接参与免疫过程调节的多肽及蛋白质（税目 29.37的货品除外），例如单克
隆抗体（ MAB）、抗体片段、抗体 偶联物及抗体片段 偶联物、白介素、干扰素（ IFN）、趋化因子 及特定的肿瘤坏死
因子（TNF）、生长因子（ GF）、促红细胞生成素及集落刺激因子（ CSF）。 
三、税目 30.03及30.04以及本章注释四（四）所述的非混合产品及混合产品，按下列规定处理：  
（一）非混合产品：  
1.溶于水的非混合产品；  
2.第二十八章及第二十九章的所有货品；  
3.税目13.02的单一植物浸膏，只经标定或溶于溶剂的。  
（二）混合产品：  
1.胶体溶液及悬浮液（胶态硫磺除外）；  
2.从植物性混合物加工所得的植物浸膏；  
3.蒸发天然矿质水所得的盐及浓缩物。  
四、税目30.06仅适用于下列物品（这些物品只能归入税目 30.06而不得归入本目录其他税目 ）： 
（一）无菌外科肠线、类似的无菌缝合材料（包括外科或牙科用无菌可吸收缝线）及外伤创口闭合用的无菌粘合胶
布； 
（二）无菌昆布及无菌昆布塞条；  
（三）外科或牙科用无菌吸收性止血材料；外科或牙科用无菌抗粘连阻隔材料，不论是否可吸收；  
（四）用于病人的 X光检查造影剂及其他诊断试剂，这些药剂是由单一产品配定剂量或由两种以上成分混合而成的；  
（五）安慰剂和盲法（或双盲法）临床试验试剂盒，用于经许可的临床试验，已配定剂量，即使它们可能含有活性
药物。 
（六）牙科粘固剂及其他牙科填料；骨骼粘固剂；  
（七）急救药箱、药包；  
（八）以激素、税目 29.37的其他产品或杀精子剂为基本成分的化学避孕药物；  
（九）专用于人类或作兽药用的凝胶制品，作为外科手术或体检时躯体部位的润滑剂，或者作为躯体和医疗器械之
间的耦合剂；  
（十）废药物即那些因超过有效保存期等原因而不适于作原用途的药品；  
（十一）可确定用于造口术的用具，即裁切成型的结肠造口术、回肠造口术、尿道造口术用袋及其具有粘性的片或
底盘。 
 
子目注释：  
 435 一、子目 3002.13及3002.14所述的非混合产品、纯物质及混合产品，按下列规定处理：  
（一）非混合产品或纯物质，不论是否含有杂质；  
（二）混合产品：  
1.上述（一）款所述的产品溶于水或其他溶剂的；  
  2.为保存或运输需要，上述（一）款及（二） 1.项所述的产品加入稳定剂的； 以及 
3.上述（一）款、 （二） 1.项及（二） 2.项所述的产品添加其他添加剂的。  
二、子目 3003.60和3004.60包括的药品含有与其他药用活性成分配伍的口服用青蒿素（ INN） ，或者含有下列任何一种
活性成分，不论是否与其他药用活性成分配伍：阿莫地喹（ INN） 、蒿醚林酸及其盐（ INN） 、双氢青蒿素（ INN） 、蒿
乙醚（INN） 、蒿甲醚（ INN） 、青蒿琥酯（ INN） 、氯喹（ INN） 、二氢青蒿素（ INN） 、苯芴醇（ INN） 、甲氟喹（ INN）、
哌喹（INN） 、乙胺嘧啶（ INN）或磺胺多辛（ INN）。",治病/预防疾病用化学品、免疫制剂、剂型药品,"食品及饮料（例如，营养品/糖尿病食品/强化食品/保健食品/滋补饮料及矿泉水）但不包括供静脉摄入用的滋养品,4类;  
含尼古丁并用于帮助吸烟者戒烟的产品(片剂/咀嚼胶/透皮贴),2404; 
经特殊煅烧或精细研磨的牙科用熟石膏,2520; 
适合医药用的精油水馏液及水溶液,3301;
加有药料的肥皂及税目的其他产品,3401;  
以熟石膏为基本成分的牙科用制品,3407; 
不作治疗及预防疾病用的血清蛋白,3502; 
诊断试剂,3822;"
6类,化学工业及其相关工业的产品,31,肥料,"一、本章不包括 ： 
（一）税目05.11的动物血 ； 
（二）单独的已有化学定义的化合物（符合下列注释二（一）、三（一）、四（一）或五所规定的化合物除外 ）；
或 
（三）税目 38.24的每颗重量不低于 2.5克的氯化钾培养晶体（光学元件除外）；氯化钾光学元件（税目 90.01）。 
二、税目 31.02只适用于下列货品，但未制成税目 31.05所述形状或包装：  
（一）符合下列任何一条规定的货品：  
1.硝酸钠，不论是否纯净；  
2.硝酸铵，不论是否纯净；  
3.硫酸铵及硝酸铵的复盐，不论是否纯净；  
4.硫酸铵，不论是否纯净；  
5.硝酸钙及硝酸铵的复盐（不论是否纯净）或硝酸钙及硝酸铵的混合物；  
6.硝酸钙及硝酸镁的复盐（不论是否纯净）或硝酸钙及硝酸镁的混合物；  
7.氰氨化钙，不论是否纯净或用油处理；  
8.尿素，不论是否纯净。  
（二）由上述（一）款任何货品相互混合的肥料。  
（三）由氯化铵或上述（一）或（二）款任何货品与白垩、石膏或其他无肥效无机物混合而成的肥料。  
（四）由上述（一） 2或8项的货品或其混合物溶于水或液氨的液体肥料。  
三、税目 31.03只适用于下列货品，但未制成税目 31.05所述形状或包装：  
（一）符合下列任何一条规定的货品：  
1.碱性熔渣；  
2.税目25.10的天然磷酸盐，已焙烧或经过超出清除杂质范围的热处理；  
3.过磷酸钙（一过磷酸钙、二过磷酸钙或三过磷酸钙）；  
4.磷酸氢钙，按干燥无水产品重量计含氟量不低于 0.2%。 
（二）由上述（一）款的任何货品相互混合的肥料，不论含氟量多少。  
（三）由上述（一）或（二）款的任何货品与白垩、石膏或其他无肥效无机物混合而成的肥料，不论含氟量多少。  
四、税目 31.04只适用于下列货品，但未制成税目 31.05所述形状或包装：  
（一）符合下列任何一条规定的货品：  
1.天然粗钾盐（例如，光卤石、钾盐镁矾及钾盐）；  
2.氯化钾，不论是否纯净，但上述注释一（三）所述的产品除外；  
3.硫酸钾，不论是否纯净；  
4.硫酸镁钾，不论是否纯净。  
（二）由上述（一）款任何货品相互混合的肥料。  
五、磷酸二氢铵及磷酸氢二铵（不论是否纯净）及其相互之间的混合物应归入税目 31.05。 
六、税目 31.05所称“其他肥料”，仅适用于其基本成分至少含有氮、磷、钾中一种肥效元素的肥料用产品。",含N/P/K肥效元素，商品化肥（液体/固体/混合）,"单一化合物除特定肥料外,28、29;
动物血,0511;
大块培养晶体,3824;"
6类,化学工业及其相关工业的产品,32,鞣料浸膏及染料浸膏;鞣酸及其衍生物;染料、颜料及其他着色料;油漆及清漆;油灰及其他类似胶粘剂;墨水、油墨,"一、本章不包括 ： 
（一）单独的已有化学定义的化学元素及化合物 （税目32.03及32.04的货品、税目 32.06的用作发光体的无机产品、
税目32.07所述形状的熔融石英或其他熔融硅石制成的玻璃及税目 32.12的零售形状或零售包装的染料及其
他着色料除外 ）； 
（二）税目 29.36至29.39、29.41及35.01至35.04的鞣酸盐及其他鞣酸衍生物； 或 
（三）沥青胶粘剂（税目 27.15）。 
二、税目 32.04包括生产偶氮染料用的稳定重氮盐与耦合物的混合物。  
三、税目 32.03、32.04、32.05及32.06也包括以着色料为基本成分的制品（例如，税目 32.06，包括以税目 25.30或第二
十八章的颜料，金属粉片及金属粉末为基本成分的制品 ）。该制品是用作原材料着色剂的拼料。但以上税目不包括
分散在非水介质中呈液状或浆状的制漆用颜料， 例如， 税目 32.12的瓷漆及税目 32.07、32.08、32.09、32.10、32.12、
32.13及32.15的其他制品。  
四、税目 32.08包括由税目 39.01至39.13所列产品溶于挥发性有机溶剂的溶液（胶棉除外 ），但溶剂重量必须超过溶液重
量的50%。 
五、本章所称“着色料”，不包括作为油漆填料的产品，不论这些产品能否用于水浆涂料的着色。  
六、税目 32.12所称“压印箔”，只包括用以压印诸如书本封面或帽带 之类的薄片，这些薄片由以下材料构成：  
（一）金属粉（包括贵金属粉）或颜料经胶水、明胶及其他粘合剂凝结而成的 ；或 
（二）金属（包括贵金属）或颜料沉积于任何材料衬片上的。",着色剂、染料、油漆、涂层、墨水、鞣料,"化妆品,33;
单一化学品,28、29;
沥青胶黏剂,27;"
6类,化学工业及其相关工业的产品,33,精油及香膏;芳香料制品及化妆盥洗品,"一、本章不包括：  
（一）税目13.01及13.02的天然油树脂及植物浸膏 ； 
（二）税目 34.01的肥皂及其他产品 ；或 
（三）税目 38.05的脂松节油、木松节油和硫酸盐松节油及其他产品。  
二、税目 33.02所称“香料”，仅指税目 33.01所列的物质、从这些物质离析出来的香料组分以及合成芳香剂。  
三、税目33.03至33.07主要包括适合作这些税目所列用 途的零售包装产品， 不论其是否混合 （精油水馏液及水溶液除外） 。  
四、税目 33.07所称“芳香料制品及化妆盥洗品”，主要适用于下列产品：香袋；通过燃烧散发香气的制品；香纸及用
化妆品浸渍或涂布的纸；隐形眼镜片或假眼用的溶液；用香水或化妆品浸渍、涂布、包覆的絮胎、毡呢及无纺织物；
动物用盥洗品。",香精香料、香水、化妆品、盥洗用品,"肥皂,34;
植物浸膏原料,13;
松节油等,3805;"
6类,化学工业及其相关工业的产品,34,肥皂、有机表面活性剂、洗涤剂、 润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,"一、本章不包括 ： 
（一）用作脱模剂的食用动植物或微生物油、脂混合物或制品（税目 15.17）； 
（二）单独的已有化学定义的化合物；或  
（三）含肥皂或其他有机表面活性剂的洗发剂、洁齿品、剃须膏及泡澡用制剂（税目 33.05、33.06及33.07）。 
二、税目 34.01所称“肥皂”，只适用于水溶性肥皂。税目 34.01的肥皂及其他产品可以含有添加料（例如，消毒剂、磨
料粉、填料或药料）。含磨料粉的产品，只有条状、块状或模制形状可以归入税目 34.01。其他形状的应作为 “去污
粉及类似品 ”归入税目 34.05。 
三、税目 34.02所称“有机表面活性剂”，是指温度在 20摄氏度时与水混合配成 0.5%浓度的水溶液，并在同样温度下搁
置一小时后与下列规定相符的 产品： 
（一）成为透明或半透明的液体或稳定的乳浊液而未离析出不溶解物质；  
（二）将水的表面张力减低到每厘米 45达因及以下。  
四、税目 34.03所称“石油及从沥青矿物提取的油类”，适用于第二十七章注释二所规定的产品。  
五、税目 34.04所称“人造蜡及调制蜡”，仅适用于：  
（一）用化学方法生产的具有蜡质特性的有机产品，不论是否为水溶性的；  
（二）各种蜡混合制成的产品；  
（三）以一种或几种蜡为基本原料并含有油脂、树脂、矿物质或其他原料的具有蜡质特性的产品。   
本税目不包括：  
（一）税目 15.16、34.02或38.23的产品，不论是否具有蜡质特性；  
（二）税目 15.21的未混合的动物蜡或未混合的植物蜡，不论是否精制或着色；  
（三）税目 27.12的矿物蜡或类似产品，不论是否相互混合或仅经着色；或  
（四）混合、分散或溶解于液体溶剂的蜡（税目 34.05、38.09等）。",清洁用品、润滑剂、人造蜡、制蜡品、蜡烛等,"单一化合物,28、29;
洗发/牙膏等,33;"
